id,house,name,gender,age,role,alive,married,born_season,died_season
1,Elliott,Thomas Elliott,m,75,holder,0,0,1,12
2,Wallace,Frederick Wallace,m,90,holder,0,0,4,50
3,Stefaniuk,Halyna Stefaniuk,f,93,holder,0,0,5,29
4,Elliott,Mary Elliott,f,81,holder,0,0,6,50
5,Stefaniuk,Kost Stefaniuk,m,82,holder,0,1,6,47
6,Wallace,George Wallace,m,82,holder,0,1,8,76
7,Benjamin,Lazarus Benjamin,m,71,holder,0,0,8,35
8,Mercier,Pierre Mercier,m,67,holder,0,0,9,25
9,Bouchard,Hermine Bouchard,f,62,holder,0,0,10,21
10,Hays,David Hays,m,80,holder,0,0,11,36
11,Mercier,Hyacinthe Mercier,m,84,holder,0,0,13,73
12,McLellan,Neil McLellan,m,91,holder,0,0,13,48
13,Hays,Lazarus Hays,m,53,holder,0,0,14,37
14,Cornwall,Isabella Cornwall,f,80,holder,0,0,14,41
15,Benjamin,Emanuel Benjamin,m,87,holder,0,1,16,83
16,McLellan,Elspeth McLellan,f,83,holder,0,1,16,75
17,Elliott,Norah Elliott,f,80,holder,0,1,17,86
18,Bouchard,Lomer Bouchard,m,61,holder,0,0,17,50
19,Langelier,Ludger Langelier,m,98,holder,0,0,17,55
20,Langelier,Clémence Langelier,f,78,holder,0,1,18,68
21,Meagher,Mary Meagher,f,86,holder,0,0,18,36
22,Meagher,Josephine Meagher,f,73,holder,0,0,19,54
23,Cornwall,Frances Cornwall,f,96,holder,0,0,20,93
24,Hoover,Katharina Hoover,f,69,holder,0,0,20,30
25,Hoover,Anna Hoover,f,65,holder,0,0,27,62
26,Stefaniuk,Tekla Stefaniuk,f,72,holder,0,1,33,65
27,Forbes,Roderick Forbes,m,74,holder,0,0,34,49
28,Mercier,Léocadie Mercier,f,78,holder,1,1,36,
29,Bouchard,Blanche Bouchard,f,76,holder,0,1,36,94
30,Rochon,Honoré Rochon,m,82,holder,0,0,36,73
31,Hays,Sarah Hays,f,60,holder,0,0,37,53
32,Rochon,Olivier Rochon,m,66,holder,0,1,37,85
33,Meagher,Eileen Meagher,f,78,holder,0,1,39,93
34,Hays,Harris Hays,m,29,holder,0,1,40,56
35,Forbes,Donald Forbes,m,62,holder,0,1,40,73
36,Patterson,Catriona Patterson,f,67,holder,0,0,40,50
37,Patterson,Farquhar Patterson,m,81,holder,1,0,41,
38,Cameron,Alexander Cameron,m,81,holder,0,0,41,63
39,Hoover,Justina Hoover,f,50,holder,0,1,42,87
40,Benjamin,Bertha Benjamin,f,76,holder,1,1,44,
41,Cameron,Isabella Cameron,f,80,holder,0,1,44,93
42,Bird,Alexander Bird,m,84,holder,0,0,44,75
43,Cornwall,Eleanor Cornwall,f,67,holder,1,1,45,
44,Bird,Thomas Bird,m,83,holder,1,1,45,
45,Cardinal,Martha Cardinal,f,65,holder,0,0,46,64
46,Rouleau,Pierre Rouleau,m,80,holder,0,0,47,62
47,Rouleau,Octavien Rouleau,m,85,holder,1,0,48,
48,Hendrie,Eleanor Hendrie,f,71,holder,0,0,49,76
49,Bhullar,Arjan Bhullar,m,80,holder,0,0,52,63
50,Cousineau,Hyacinthe Cousineau,m,72,holder,0,0,53,60
51,Hendrie,Jane Hendrie,f,64,holder,1,1,54,
52,Bhullar,Inder Bhullar,m,71,holder,0,0,54,92
53,Pegahmagabow,Josephine Pegahmagabow,f,75,holder,0,0,54,81
54,Pegahmagabow,Joseph Pegahmagabow,m,57,holder,1,1,55,
55,Wallace,Sarah Wallace,f,74,holder,1,1,56,
56,Hays,Joseph Hays,m,70,holder,0,0,56,76
57,Hays,Rosa Hays,f,66,holder,1,1,56,
58,Cardinal,Nancy Cardinal,f,71,holder,1,0,56,
59,Byrne,Agnes Byrne,f,86,holder,0,0,56,78
60,Byrne,Norah Byrne,f,73,holder,0,1,57,98
61,Meagher 2,Owen Meagher,m,82,holder,0,0,57,98
62,McLellan,Iain McLellan,m,65,holder,0,1,58,90
63,Marchand,Édouard Marchand,m,80,holder,0,0,58,93
64,Elliott,Maureen Elliott,f,59,holder,1,1,59,
65,Wallace 2,Frederick Wallace,m,68,holder,1,1,61,
66,Langelier,Marguerite Langelier,f,84,holder,1,0,61,
67,Stefaniuk,Hryhoriy Stefaniuk,m,47,holder,0,0,62,78
68,Skye,Lydia Skye,f,75,holder,0,0,62,93
69,Meagher,Malachy Meagher,m,53,holder,1,1,63,
70,Meagher 2,Brendan Meagher,m,52,holder,1,1,63,
71,Skye,Deborah Skye,f,43,holder,1,1,63,
72,Bouchard,Télesphore Bouchard,m,50,holder,1,1,64,
73,Proulx,Clémence Proulx,f,86,holder,1,0,64,
74,Cameron,Alexander Cameron,m,51,holder,1,1,65,
75,Worts,Anne Worts,f,76,holder,0,0,65,89
76,Bhullar,Jaswant Bhullar,f,50,holder,1,1,67,
77,Proulx,Léocadie Proulx,f,55,heir,1,1,67,
78,Colby,James Colby,m,76,holder,0,0,68,89
79,Worts,Ellen Worts,f,52,holder,1,0,69,
80,Colby,Samuel Colby,m,59,holder,1,0,69,
81,Gillies,Margaret Gillies,f,84,holder,1,0,70,
82,Marchand,Cyrille Marchand,m,60,holder,1,0,71,
83,Fairbanks,Sarah Fairbanks,f,75,holder,1,0,71,
84,Langelier,Louis Langelier,m,45,heir,1,1,72,
85,Rouleau,Octavien Rouleau,m,57,heir,1,1,72,
86,Lucas,Albert Lucas,m,74,holder,0,0,72,83
87,Forbes,Rachel Forbes,f,78,holder,1,0,73,
88,Lucas,Anne Lucas,f,59,holder,1,0,73,
89,Cardinal,Simon Cardinal,m,37,heir,1,1,74,
90,Dawes,Ronald Dawes,m,84,holder,1,0,74,
91,Wallace,Edwin Wallace,m,45,heir,1,1,76,
92,Bird,Ruth Bird,f,52,heir,1,1,76,
93,Dawes,Alasdair Dawes,m,46,heir,1,0,76,
94,Mercier,Clémence Mercier,f,45,heir,1,1,77,
95,Rochon,Cyrille Rochon,m,48,holder,1,1,77,
96,Patterson,Farquhar Patterson,m,42,heir,1,1,77,
97,Turgeon,Marguerite Turgeon,f,77,holder,0,0,77,95
98,Stefaniuk,Domka Stefaniuk,f,71,holder,1,0,78,
99,Stefaniuk,Fedir Stefaniuk,m,45,heir,1,0,78,
100,McLellan,Roderick McLellan,m,45,holder,0,1,78,99
101,Gillies,Mary Gillies,f,53,heir,1,1,80,
102,Forbes,Alexander Forbes,m,45,heir,1,1,81,
103,Wallace 2,Albert Wallace,m,35,heir,1,0,83,
104,Benjamin,Rachel Benjamin,f,44,heir,1,0,84,
105,Fairbanks,Francis Fairbanks,m,38,heir,1,0,84,
106,Turgeon,Télesphore Turgeon,m,49,holder,1,1,84,
107,Hays,Moses Hays,m,40,heir,1,1,86,
108,Byrne,Owen Byrne,m,34,holder,0,0,86,99
109,Gillies 2,Flora Gillies,f,77,holder,1,0,86,
110,Elliott,Annie Elliott,f,32,heir,1,0,87,
111,Hoover,Isaac Hoover,m,65,holder,1,0,87,
112,Benjamin,Jacob Benjamin,m,43,heir2,1,0,90,
113,Hendrie,Edith Hendrie,f,37,heir,1,0,90,
114,Colby,John Colby,m,21,heir,1,1,90,
115,Pegahmagabow,Elizabeth Pegahmagabow,f,26,heir,1,1,91,
116,Lucas,Charlotte Lucas,f,19,heir,1,0,91,
117,Furlong,Josephine Furlong,f,52,holder,1,0,92,
118,Marchand,Wilfrid Marchand,m,33,heir,1,0,93,
119,Cameron,Norman Cameron,m,15,heir,1,1,94,
120,Rouleau,Corinne Rouleau,f,51,heir2,1,0,94,
121,Worts,Herbert Worts,m,20,heir,1,0,95,
122,Furlong,Margaret Furlong,f,15,heir,1,0,95,
123,Meagher,Kathleen Meagher,f,22,heir,1,0,97,
124,Meagher 2,Catherine Meagher,f,25,heir,1,0,98,
125,Bouchard,Blanche Bouchard,f,20,heir,1,1,99,
126,McLellan,Flora McLellan,f,56,holder,1,0,99,
127,Hoover,Wilhelm Hoover,m,36,heir,1,0,99,
128,Byrne,Johanna Byrne,f,39,holder,1,0,99,
129,Beauvais,Abram Beauvais,m,66,holder,1,0,100,
